httpRequest.latency,httpRequest.protocol,httpRequest.referer,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,textPayload,timestamp,trace,traceSampled
0.324697527s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1761,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/user-list/roles,1300,216.239.32.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a1ed8000bd3e0e5e782ca,00f46b92857871ebd722f1630057e4b4c1a726aab13d12533db231e254bc78def271412b25dea2f34847821713b016bd03f69378b89c9dfd94787c6d9d42bd,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T09:14:01.034292666Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,3183419241479684082,,2024-04-25T09:14:00.448763Z,projects/accesa-playground/traces/76dc088a009ebddf1c862b71684411ca,
1.152231580s,HTTP/1.1,http://localhost:4200/,91.240.5.97,POST,1904,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/user-list/pageable,1100696,216.239.32.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a1ed90009328749671950,00f46b92857871ebd722f1630057e4b4c1a726aab13d12533db231e254bc78def271412b25dea2f34847821713b016bd03f69378b89c9dfd94787c6d9d42bd,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T09:14:01.699594927Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,10830396100926920661,,2024-04-25T09:14:00.448422Z,projects/accesa-playground/traces/5f25dee2a2592cfe27599426c275a621,
1.010002062s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1767,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile,93298,216.239.32.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a1ed800036e9c8b22455f,00f46b92857871ebd722f1630057e4b4c1a726aab13d12533db231e254bc78def271412b25dea2f34847821713b016bd03f69378b89c9dfd94787c6d9d42bd,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T09:14:00.367873447Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,2900877963644142996,,2024-04-25T09:13:59.209802Z,projects/accesa-playground/traces/ad24a32c8be2ffaed5a7d83ffafad571,
0.484669728s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1779,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile/permissions,5367,216.239.32.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a1ed7000aaa2984b28572,00f46b92857871ebd722f1630057e4b4c1a726aab13d12533db231e254bc78def271412b25dea2f34847821713b016bd03f69378b89c9dfd94787c6d9d42bd,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T09:13:59.702138916Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,430556354729164766,,2024-04-25T09:13:59.209659Z,projects/accesa-playground/traces/78978ccc28f9806c104db0c5c5024d7d,true
1.135019920s,HTTP/1.1,http://localhost:4200/,91.240.5.97,POST,1906,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/user-list/pageable,1100696,216.239.32.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a1e0c00082d43d70e6aed,00f46b92857871ebd722f1630057e4b4c1a726aab13d12533db231e254bc78def271412b25dea2f34847821713b016bd03f69378b89c9dfd94787c6d9d42bd,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T09:10:36.625986233Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,5790651779700757288,,2024-04-25T09:10:35.399166Z,projects/accesa-playground/traces/f7c8746d26064cc3087373c6ec760e58,
0.297316777s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1761,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/user-list/roles,1300,216.239.32.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a1e0b000a8aa0d0c7fa64,00f46b92857871ebd722f1630057e4b4c1a726aab13d12533db231e254bc78def271412b25dea2f34847821713b016bd03f69378b89c9dfd94787c6d9d42bd,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T09:10:35.954124836Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,3672456960269157855,,2024-04-25T09:10:35.392168Z,projects/accesa-playground/traces/c7f7978b91e00b9ae747751869ee558e,
0.849042778s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1766,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile,93297,216.239.32.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a1e0b00025236201e96f4,00f46b92857871ebd722f1630057e4b4c1a726aab13d12533db231e254bc78def271412b25dea2f34847821713b016bd03f69378b89c9dfd94787c6d9d42bd,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T09:10:35.287825726Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,15061499921253176810,,2024-04-25T09:10:34.296563Z,projects/accesa-playground/traces/a8328065e2140efa73c15e99923431f8,
0.317813278s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1780,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile/permissions,5367,216.239.32.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a1e0a000974b43720dcdc,00f46b92857871ebd722f1630057e4b4c1a726aab13d12533db231e254bc78def271412b25dea2f34847821713b016bd03f69378b89c9dfd94787c6d9d42bd,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T09:10:34.621531276Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,599366856156365838,,2024-04-25T09:10:34.296457Z,projects/accesa-playground/traces/e56e239d1e20f65a9f257b6fe94a6b32,true
1.332883054s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1712,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/group-list,117967,216.239.34.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a1cfc0001c9de580efda6,00f46b92857871ebd722f1630057e4b4c1a726aab13d12533db231e254bc78def271412b25dea2f34847821713b016bd03f69378b89c9dfd94787c6d9d42bd,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T09:06:04.121759868Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,5931892270127102718,,2024-04-25T09:06:02.783191Z,projects/accesa-playground/traces/0f172c6250b7bf09ac1dbfb63fbff691,true
0.253281714s,HTTP/1.1,http://localhost:4200/,91.240.5.97,POST,1997,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/interview-response/temp,1214,216.239.34.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a1cef000bcdf8561370b1,00f46b92857871ebd722f1630057e4b4c1a726aab13d12533db231e254bc78def271412b25dea2f34847821713b016bd03f69378b89c9dfd94787c6d9d42bd,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T09:05:51.775261166Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,4773186564182938910,,2024-04-25T09:05:51.518967Z,projects/accesa-playground/traces/75ae801a8314a10e060af58fa2a3d0c7,true
